"EUNISCode","B1","B3","B5","D2","D6","O1","O3","O4","P1","P2","P3"
"A4.231","Not sensitive","Not sensitive","Medium","High","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A4.232","Not sensitive",NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.233",NA,"Not sensitive",NA,"High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.241",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A4.242",NA,"Insufficient evidence","Low",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.25",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.251",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2511",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2512",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.252",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.311",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.3111",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.3112",NA,"Not sensitive",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.312",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.313",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.314",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.3141",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.3142",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.71",NA,"Insufficient evidence",NA,NA,"High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.711",NA,"Insufficient evidence",NA,NA,"High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.12",NA,NA,NA,"Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.131",NA,NA,NA,"Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.132",NA,"High",NA,"Medium","Not sensitive","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.133",NA,"High","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.134",NA,"Insufficient evidence",NA,"Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.135",NA,"High","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.136",NA,"High",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.137",NA,"Insufficient evidence",NA,"Not sensitive","Not sensitive","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.141",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.142",NA,"High","Not sensitive","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.143",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.144",NA,"Insufficient evidence","Not sensitive","Medium","Not sensitive","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.145",NA,"Insufficient evidence",NA,"Medium","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.151",NA,"High",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.152",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.21",NA,"Insufficient evidence","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.22","Not sensitive","Medium","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.221","Not sensitive","Medium",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.222","Not sensitive","Not sensitive",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.231",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.232",NA,"Insufficient evidence",NA,"Low","Low","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.233",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.234","Not sensitive",NA,"Not sensitive","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.241",NA,"Not sensitive","Medium","Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.242",NA,"High","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.243",NA,"High","Medium","Low","Not sensitive","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.244",NA,"High","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.251",NA,"High","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.252",NA,"High","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.261",NA,"High","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.262",NA,NA,NA,"Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.271",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.272",NA,NA,NA,"Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.31",NA,"Insufficient evidence","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.321","Not sensitive",NA,NA,"Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.322","Not sensitive","High",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.323",NA,"High","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.325",NA,"High",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.326",NA,"High",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.327",NA,"High",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.331",NA,"High","Medium","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.332",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.333",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.334",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.336",NA,"High",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.341",NA,"High","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.342",NA,"High","Medium","Medium","Not sensitive","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.343",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.344",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.351",NA,NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.352",NA,NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.353",NA,NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.354",NA,"Insufficient evidence","Not sensitive","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.3541",NA,"Insufficient evidence","Not sensitive","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.355",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.361",NA,"Insufficient evidence","Not sensitive","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.3611",NA,"Insufficient evidence","Not sensitive","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.362",NA,"Insufficient evidence","Not sensitive","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.363","Not sensitive",NA,"Not sensitive","Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.371",NA,NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.372",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.373",NA,"Medium",NA,"Medium","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.374",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.3741",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.375",NA,NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.376",NA,NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.377",NA,NA,NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.41",NA,"Insufficient evidence","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.421","Not sensitive",NA,NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.422",NA,NA,"Low","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.431",NA,NA,"Low","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.432",NA,"Medium",NA,"Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.433",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.434",NA,"Insufficient evidence","Not sensitive","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.435",NA,"High","High","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.441",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.4411",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.442",NA,"Insufficient evidence",NA,"High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.443",NA,"High",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.444",NA,"Insufficient evidence","Medium","Medium","Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.445",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.451",NA,"High","Not sensitive","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.51",NA,"High","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.511",NA,"High","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.5111",NA,"High","High","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.5112",NA,"High","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.512",NA,"High","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.521",NA,"High",NA,"Medium","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A5.5211",NA,"High",NA,"Medium","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A5.5212",NA,"High",NA,"Medium","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A5.5213",NA,"High",NA,"Medium","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A5.5214",NA,"High",NA,"Medium","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A5.522",NA,"High",NA,"Medium","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A5.523",NA,"High",NA,"Medium","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A5.524",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.525",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.526",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.527",NA,"Low",NA,"Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.528",NA,"Not sensitive","Low","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.5331",NA,"High","Medium","High","Medium","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive"
"A5.5343",NA,"High","Low","Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A5.611",NA,"Not sensitive","Not sensitive","Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A5.612",NA,"Low","Not sensitive","Medium","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.613",NA,"Insufficient evidence",NA,"High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.621",NA,"Insufficient evidence",NA,"High","High","Not assessed","Insufficient evidence","Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.622",NA,"Insufficient evidence",NA,"High","High","Not assessed","Insufficient evidence","Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.623",NA,"Insufficient evidence",NA,"High","High","Not assessed","Insufficient evidence","Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.624",NA,"Insufficient evidence",NA,"High","High","Not assessed","Insufficient evidence","Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.625",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.631",NA,"Not sensitive","Not sensitive","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A5.7211",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"B3.111",NA,"Insufficient evidence","Insufficient evidence",NA,"High","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive"
"B3.113",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"B3.114",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"B3.115",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
