"EUNISCode","B1","B3","B4","B5","B6","D2","D3","D5","D6","L2sb","L2sed","O1","O3","O4","P1","P2","P3","P6","P7","P8"
"A3.2113","Not sensitive","High","Not sensitive","Medium","Medium","High","Low","Medium","Medium","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.212",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.2121",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.2122",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.213",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.2131",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.2132",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.214",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.2141",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.2142",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.2143",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.2144",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A3.215",NA,"Not sensitive","Not sensitive","Medium","Low",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.216",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.217",NA,"Not sensitive","Not sensitive",NA,"Medium","High","Low","Medium","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.221",NA,"High","Low","Low","Medium",NA,"Low","Not sensitive","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.222",NA,"High","Low","Low","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.223",NA,"High","Low","Medium","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.224",NA,"High","Low",NA,"Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.225",NA,"Not sensitive","Insufficient evidence",NA,"Low",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.311",NA,"High","Low","Medium","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A3.312",NA,"High","Low","Medium","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.3121",NA,"High","Low","Medium","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.3122",NA,"High","Low","Medium","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.3123",NA,"High","Low","Medium","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.313",NA,"Medium","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.3131",NA,"High","Not sensitive","Medium","Low",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.3132",NA,"Medium","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.3133",NA,"Medium","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.3134",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.314",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.315",NA,"High","Low","Low","Low","Low","Not sensitive","Not sensitive","Low","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Insufficient evidence"
"A3.321",NA,"High","Low",NA,"Low",NA,"Low","Medium","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.322",NA,"High","Low",NA,"Low",NA,"Low","Medium","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.323",NA,"High","Low",NA,"Low",NA,"Low","Low","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.341",NA,"Insufficient evidence","Insufficient evidence","Low","Low",NA,"Low","Medium","Low","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.342",NA,"Insufficient evidence","Insufficient evidence","High","Medium",NA,"Not sensitive","Medium","High","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A3.343",NA,"Medium","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Insufficient evidence"
"A3.344",NA,"Insufficient evidence","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Medium"
"A3.361",NA,"Medium","Medium","Medium","High",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.362",NA,"Insufficient evidence","Insufficient evidence",NA,NA,NA,"Not sensitive","Low","Low","High",NA,"Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.363",NA,"Insufficient evidence","Insufficient evidence",NA,NA,"Low","Low","Low","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.711",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.712",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.713",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.714",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.715",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.716",NA,"Not sensitive","Not sensitive",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.111",NA,"Not sensitive","Not sensitive",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A4.112",NA,"Insufficient evidence","Not sensitive",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1121",NA,"Insufficient evidence","Not sensitive",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1122",NA,"Insufficient evidence","Not sensitive",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.12",NA,"Insufficient evidence","Insufficient evidence","High","High",NA,"Not sensitive","Medium","High","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","High"
"A4.121",NA,"Insufficient evidence","Insufficient evidence","High","High",NA,"Not sensitive","Medium","High","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","High"
"A4.131",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.1311",NA,"Insufficient evidence","Medium","High","High",NA,"Not sensitive","Not sensitive","High","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","High"
"A4.1312",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.1313",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.132",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A4.133",NA,"Medium","Medium","High","Medium",NA,"Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Medium"
"A4.134",NA,"Insufficient evidence","Medium","Medium","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.1341",NA,"Insufficient evidence","Medium","Medium","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.1342",NA,"Insufficient evidence","Medium","Medium","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.1343",NA,"Insufficient evidence","Medium","Medium","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.135",NA,"Insufficient evidence","Insufficient evidence","Medium","Medium","Medium","Not sensitive","Not sensitive","Medium","High","High","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.136",NA,"Insufficient evidence","Low",NA,"Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.137",NA,"Insufficient evidence","Medium","Medium","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.138",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A4.139",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.211",NA,"Medium","Medium","High","Medium",NA,"Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Medium"
"A4.2111",NA,"Medium","Medium","High","Medium",NA,"Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Medium"
"A4.2112",NA,"Medium","Medium","High","Medium",NA,"Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Medium"
"A4.212",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Medium"
"A4.2121",NA,"Insufficient evidence","Not sensitive",NA,"Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.2122",NA,"Insufficient evidence","Insufficient evidence","Insufficient evidence","Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Medium"
"A4.213",NA,"Not sensitive","Not sensitive",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A4.214",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A4.2141",NA,"Insufficient evidence","Medium","Medium","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.2142",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A4.2143",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A4.2144",NA,"Insufficient evidence","Not sensitive",NA,"Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.2145",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A4.2146",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Low"
"A4.215",NA,"Insufficient evidence","Insufficient evidence","Insufficient evidence","Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Medium"
"A4.22",NA,"Not sensitive","Insufficient evidence","Not sensitive","Medium","Medium","Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A4.221",NA,"Not sensitive","Insufficient evidence","Not sensitive","Medium","Medium","Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A4.2211",NA,"Not sensitive","Insufficient evidence","Not sensitive","Medium","Medium","Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A4.2212",NA,"Not sensitive","Insufficient evidence","Not sensitive","Medium","Medium","Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A4.231","Not sensitive","Not sensitive","Insufficient evidence","Medium","Low","High","Not sensitive","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Insufficient evidence"
"A4.232","Not sensitive",NA,"Not sensitive",NA,"Medium","Medium","Low","Not sensitive","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.233",NA,"Not sensitive","Not sensitive",NA,"Medium","High","Low","Medium","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A4.241",NA,"High","Medium","Medium","High",NA,"Not sensitive","Medium","Medium","High","Not sensitive","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.242",NA,"Insufficient evidence","Not sensitive","Low","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Low"
"A4.25",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.251",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.2511",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.2512",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.252",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.311",NA,"Insufficient evidence","Not sensitive","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.3111",NA,"Insufficient evidence","Not sensitive","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.3112",NA,"Not sensitive","Not sensitive",NA,"Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A4.312",NA,"Insufficient evidence","Medium",NA,"Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.313",NA,"Insufficient evidence","Not sensitive","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A4.314",NA,"Insufficient evidence","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Low"
"A4.3141",NA,"Insufficient evidence","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Low"
"A4.3142",NA,"Insufficient evidence","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Low"
"A4.71",NA,"Insufficient evidence","Insufficient evidence",NA,"High",NA,"Not sensitive","Not sensitive","High","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","High"
"A4.711",NA,"Insufficient evidence","Insufficient evidence",NA,"High",NA,"Not sensitive","Not sensitive","High","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","High"
"A5.12",NA,NA,NA,NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.131",NA,NA,NA,NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A5.132",NA,"High","Insufficient evidence",NA,"Medium","Medium","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Medium"
"A5.133",NA,"High","Not sensitive","Medium","Low","Low","Low","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A5.134",NA,"Insufficient evidence","Insufficient evidence",NA,"Low","Medium","Not sensitive","Low","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A5.135",NA,"High","Low","Medium","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A5.136",NA,"High","Insufficient evidence",NA,"Low","Low","Low","Insufficient evidence","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A5.137",NA,"Insufficient evidence","Insufficient evidence",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A5.141",NA,"Not sensitive","Not sensitive",NA,"Low","Low","Not sensitive","Not sensitive","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A5.142",NA,"High","Not sensitive","Not sensitive","Low","Low","Low","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A5.143",NA,"Insufficient evidence","Insufficient evidence",NA,"Low","Low","Not sensitive","Insufficient evidence","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Low"
"A5.144",NA,"Insufficient evidence","Insufficient evidence","Not sensitive","Medium","Medium","Medium","Not sensitive","Not sensitive","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Medium"
"A5.145",NA,"Insufficient evidence","Insufficient evidence",NA,"Low","Medium","Not sensitive","Low","Low","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A5.151",NA,"High","Not sensitive",NA,"Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A5.152",NA,"Insufficient evidence","Insufficient evidence",NA,"Low","Low","Insufficient evidence","Insufficient evidence","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Low"
"A5.21",NA,"Insufficient evidence","Insufficient evidence","Medium","Medium","Medium","Not sensitive","Not sensitive","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
