"EUNISCode","B1","B3","B5","B6","D2","D3","D5","D6","L2sb","L2sed","O1","O2","O3","O4","P1","P2","P3","P6","P7","P8","NA"
"A4.2512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.3111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.3112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.3141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.3142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5.12",NA,NA,NA,NA,1,1,1,1,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A5.131",NA,NA,NA,NA,1,1,1,1,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A5.132",NA,6,NA,5,5,1,1,1,6,6,3,2,NA,2,1,1,1,1,5,5,NA
"A5.133",NA,6,5,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.134",NA,2,NA,4,5,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,4,NA
"A5.135",NA,6,5,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,5,NA
"A5.136",NA,6,NA,4,4,4,2,4,6,6,3,2,NA,1,1,1,1,1,1,2,NA
"A5.137",NA,2,NA,4,1,1,1,1,6,6,3,2,NA,2,1,1,1,1,1,4,NA
"A5.141",NA,1,NA,4,4,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,2,NA
"A5.142",NA,6,1,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.143",NA,2,NA,4,4,1,2,4,6,6,3,2,NA,1,1,1,1,1,2,4,NA
"A5.144",NA,2,1,5,5,5,1,1,6,6,3,2,NA,1,1,1,1,1,5,5,NA
"A5.145",NA,2,NA,4,5,1,4,4,6,6,3,2,NA,4,1,1,1,1,1,4,NA
"A5.151",NA,6,NA,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.152",NA,2,NA,4,4,2,2,4,6,6,3,2,NA,1,1,1,1,1,2,4,NA
"A5.21",NA,2,5,5,5,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.22",1,5,5,5,4,4,1,4,6,1,3,2,NA,1,1,1,1,1,1,1,NA
"A5.221",1,5,NA,4,4,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.222",1,1,NA,4,4,4,1,4,6,6,3,2,NA,4,1,1,1,1,1,1,NA
"A5.231",NA,1,NA,4,4,4,1,4,6,6,3,2,NA,4,1,1,1,1,1,1,NA
"A5.232",NA,2,NA,4,4,1,1,4,6,6,3,2,1,1,1,1,1,1,1,4,NA
"A5.233",NA,1,NA,4,4,4,1,4,6,6,3,2,NA,4,1,1,1,1,1,1,NA
"A5.234",1,NA,1,4,5,4,4,4,6,6,3,2,NA,1,1,1,1,1,1,4,NA
"A5.241",NA,1,5,5,5,1,1,5,6,6,3,2,NA,NA,1,1,1,1,5,5,NA
"A5.242",NA,6,5,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.243",NA,6,5,5,4,1,1,1,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.244",NA,6,5,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.251",NA,6,5,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.252",NA,6,5,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.261",NA,6,5,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.262",NA,NA,NA,5,5,1,4,5,6,6,3,2,NA,NA,1,1,1,1,5,5,NA
"A5.271",NA,2,NA,4,5,1,1,5,6,5,3,2,NA,1,1,1,1,1,5,4,NA
"A5.272",NA,NA,NA,5,5,1,4,5,6,6,3,2,NA,NA,1,1,1,1,5,5,NA
"A5.31",NA,2,5,5,5,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.321",1,NA,NA,4,5,4,4,4,6,6,3,2,NA,1,1,1,1,1,4,4,NA
"A5.322",1,6,NA,5,4,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.323",NA,6,5,5,4,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.325",NA,6,NA,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A5.326",NA,6,NA,4,4,4,1,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A5.327",NA,6,NA,4,4,4,1,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.331",NA,6,5,4,6,1,1,5,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.332",NA,2,NA,5,5,1,1,5,6,6,3,2,1,1,1,1,1,1,1,5,NA
"A5.333",NA,2,NA,4,4,4,1,4,6,6,3,2,NA,1,1,1,1,1,4,4,NA
"A5.334",NA,2,NA,4,4,4,1,4,6,6,3,2,NA,1,1,1,1,1,4,4,NA
"A5.336",NA,6,NA,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A5.341",NA,6,5,5,5,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,4,NA
"A5.342",NA,6,5,5,5,1,1,1,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.343",NA,2,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,6,NA
"A5.344",NA,2,NA,4,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,1,5,NA
"A5.351",NA,NA,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,1,NA
"A5.352",NA,NA,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,4,NA
"A5.353",NA,NA,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,1,NA
"A5.354",NA,2,1,5,6,5,5,5,6,6,3,2,NA,1,1,1,1,1,5,6,NA
"A5.3541",NA,2,1,5,6,5,5,5,6,6,3,2,NA,1,1,1,1,1,5,6,NA
"A5.355",NA,2,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,5,NA
"A5.361",NA,2,1,5,6,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,5,NA
"A5.3611",NA,2,1,6,6,1,1,6,6,6,3,2,NA,1,1,1,1,1,5,5,NA
"A5.362",NA,2,1,1,6,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,5,NA
"A5.363",1,NA,1,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,5,NA
"A5.371",NA,NA,NA,5,5,1,4,5,6,6,3,2,NA,1,1,1,1,1,4,1,NA
"A5.372",NA,2,NA,4,4,1,5,4,6,6,3,2,NA,NA,1,1,1,1,4,4,NA
"A5.373",NA,5,NA,5,5,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.374",NA,1,NA,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.3741",NA,1,NA,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.375",NA,NA,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,1,NA
"A5.376",NA,NA,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,1,NA
"A5.377",NA,NA,NA,5,5,1,1,5,6,6,3,2,NA,1,1,1,1,1,5,1,NA
"A5.41",NA,2,5,5,5,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.421",1,NA,NA,4,4,4,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.422",NA,NA,4,4,4,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.431",NA,NA,4,4,4,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A5.432",NA,5,NA,5,5,1,5,5,6,5,3,2,NA,2,1,1,1,1,2,5,NA
"A5.433",NA,6,4,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.434",NA,2,1,6,6,5,5,6,6,5,3,2,NA,NA,1,1,1,1,2,2,NA
"A5.435",NA,6,6,5,6,1,6,6,6,NA,3,2,NA,1,1,1,1,1,1,1,NA
"A5.441",NA,2,NA,5,5,1,5,5,6,6,3,2,NA,2,1,1,1,1,5,4,NA
"A5.4411",NA,2,NA,5,5,1,5,5,6,6,3,2,NA,2,1,1,1,1,5,4,NA
"A5.442",NA,2,NA,5,6,1,6,6,6,1,3,2,NA,NA,1,1,1,1,1,1,NA
"A5.443",NA,6,NA,4,4,1,1,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A5.444",NA,2,5,5,5,1,1,5,6,6,3,2,1,1,1,1,1,1,1,4,NA
"A5.445",NA,2,NA,5,5,1,5,5,6,1,3,2,NA,1,1,1,1,1,1,4,NA
"A5.451",NA,6,1,4,4,4,4,4,6,6,3,2,NA,NA,1,1,1,1,1,4,NA
"A5.51",NA,6,6,6,6,5,6,6,6,1,3,2,NA,2,1,1,1,1,6,6,NA
"A5.511",NA,6,6,6,6,5,6,6,6,1,3,2,NA,2,1,1,1,1,6,6,NA
"A5.5111",NA,6,6,6,6,5,6,6,6,1,3,2,NA,4,1,1,1,1,6,6,NA
"A5.5112",NA,6,6,6,6,5,6,6,6,1,3,2,NA,2,1,1,1,1,6,6,NA
"A5.512",NA,6,6,6,6,5,6,6,6,1,3,2,NA,2,1,1,1,1,6,6,NA
"A5.521",NA,6,NA,5,5,4,1,5,6,6,3,2,NA,5,1,1,1,1,4,1,NA
"A5.5211",NA,6,NA,5,5,4,1,5,6,6,3,2,NA,5,1,1,1,1,4,1,NA
"A5.5212",NA,6,NA,5,5,4,1,5,6,6,3,2,NA,5,1,1,1,1,4,1,NA
"A5.5213",NA,6,NA,5,5,4,1,5,6,6,3,2,NA,5,1,1,1,1,4,1,NA
"A5.5214",NA,6,NA,5,5,4,1,5,6,6,3,2,NA,5,1,1,1,1,4,1,NA
"A5.522",NA,6,NA,5,5,4,1,5,6,6,3,2,NA,5,1,1,1,1,4,1,NA
"A5.523",NA,6,NA,5,5,5,4,5,6,6,3,2,NA,5,1,1,1,1,4,4,NA
"A5.524",NA,6,5,5,5,5,1,5,6,6,3,2,NA,4,1,1,1,4,4,1,NA
"A5.525",NA,6,5,5,5,5,1,5,6,6,3,2,NA,4,1,1,1,4,4,1,NA
"A5.526",NA,2,NA,5,4,4,5,4,6,1,3,2,NA,4,1,1,1,2,2,2,NA
"A5.527",NA,4,NA,5,5,5,1,5,6,1,3,2,NA,4,1,1,1,1,2,2,NA
"A5.528",NA,1,4,4,4,1,4,4,6,NA,3,2,NA,1,1,1,1,1,1,1,NA
"A5.5331",NA,6,5,6,6,6,5,5,6,6,3,2,NA,6,1,1,1,5,5,1,NA
"A5.5343",NA,6,4,5,4,6,5,4,6,6,3,2,NA,4,1,1,1,1,2,1,NA
"A5.611",NA,1,1,5,5,1,1,5,6,5,3,2,NA,NA,1,1,1,1,1,2,NA
"A5.612",NA,4,1,5,5,5,1,4,6,6,3,2,NA,2,1,1,1,1,1,2,NA
"A5.613",NA,2,NA,6,6,2,5,6,6,1,3,2,NA,2,1,1,1,1,2,6,NA
"A5.621",NA,2,NA,6,6,1,5,6,6,6,3,2,2,2,1,1,1,1,1,1,NA
"A5.622",NA,2,NA,6,6,1,6,6,6,6,3,2,2,2,1,1,1,1,1,1,NA
"A5.623",NA,2,NA,6,6,1,6,6,6,6,3,2,2,2,1,1,1,1,1,1,NA
"A5.624",NA,2,NA,6,6,1,6,6,6,6,3,2,2,2,1,1,1,1,1,1,NA
"A5.625",NA,6,5,5,5,1,5,5,6,1,3,2,NA,2,1,1,1,1,1,1,NA
"A5.631",NA,1,1,6,6,6,5,6,6,NA,3,2,NA,2,1,1,1,2,2,6,NA
"A5.7211",NA,2,NA,NA,4,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"B3.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B3.113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B3.114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B3.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
